station,valid,feel,p01m
06C,2018-08-20 07:55,70.30,0.00
06C,2018-08-20 08:55,70.20,0.00
06C,2018-08-20 09:55,69.80,0.00
06C,2018-08-20 10:55,69.30,0.00
06C,2018-08-20 11:55,69.80,0.00
06C,2018-08-20 12:55,70.50,0.00
06C,2018-08-20 13:55,71.60,0.00
06C,2018-08-20 14:55,73.40,0.00
06C,2018-08-20 15:55,74.80,0.00
06C,2018-08-20 16:55,72.70,0.00
06C,2018-08-20 17:55,71.43,1.78
06C,2018-08-20 18:55,73.52,0.25
06C,2018-08-20 19:55,75.84,0.00
06C,2018-08-20 20:55,75.88,0.00
06C,2018-08-20 21:55,75.88,0.25
06C,2018-08-20 22:55,74.82,0.00
06C,2018-08-20 23:55,75.27,0.00
06C,2018-08-21 00:55,66.20,7.37
06C,2018-08-21 01:55,66.60,0.25
06C,2018-08-21 02:55,67.10,0.00
06C,2018-08-21 03:55,66.40,0.00
06C,2018-08-21 04:55,66.20,0.00
06C,2018-08-21 06:55,67.10,0.00
06C,2018-08-21 07:55,66.70,0.00
06C,2018-08-21 08:55,66.60,0.00
06C,2018-08-21 09:55,66.60,0.00
06C,2018-08-21 10:55,67.10,0.00
06C,2018-08-21 11:55,67.30,0.00
06C,2018-08-21 12:55,68.00,0.25
06C,2018-08-21 13:55,67.50,2.29
06C,2018-08-21 14:55,67.50,0.51
06C,2018-08-21 15:55,67.30,0.00
06C,2018-08-21 16:55,69.30,0.00
06C,2018-08-21 17:55,68.90,0.00
06C,2018-08-21 18:55,73.00,0.00
06C,2018-08-21 19:55,72.90,0.00
06C,2018-08-21 20:55,72.70,0.00
06C,2018-08-21 21:55,74.30,0.00
06C,2018-08-21 22:55,74.30,0.00
06C,2018-08-21 23:55,72.70,0.00
06C,2018-08-22 00:55,70.30,0.00
06C,2018-08-22 01:55,68.00,0.00
06C,2018-08-22 02:55,66.40,0.00
06C,2018-08-22 03:55,65.80,0.00
06C,2018-08-22 04:55,65.10,0.00
06C,2018-08-22 05:55,63.50,0.00
06C,2018-08-22 06:55,61.00,0.00
06C,2018-08-22 07:55,59.00,0.00
06C,2018-08-22 08:55,57.60,0.00
06C,2018-08-22 09:55,55.40,0.00
06C,2018-08-22 10:55,55.40,0.00
06C,2018-08-22 11:55,56.50,0.00
06C,2018-08-22 12:55,59.70,0.00
06C,2018-08-22 13:55,64.40,0.00
06C,2018-08-22 14:55,68.50,0.00
06C,2018-08-22 15:55,70.90,0.00
06C,2018-08-22 16:55,72.70,0.00
06C,2018-08-22 17:55,75.00,0.00
06C,2018-08-22 18:55,74.18,0.00
06C,2018-08-22 19:55,73.80,0.00
06C,2018-08-22 20:55,75.40,0.00
06C,2018-08-22 21:55,75.70,0.00
06C,2018-08-22 22:55,72.88,0.00
06C,2018-08-22 23:55,70.59,0.00
06C,2018-08-23 00:55,66.20,0.00
06C,2018-08-23 01:55,61.90,0.00
06C,2018-08-23 02:55,60.30,0.00
06C,2018-08-23 03:55,58.10,0.00
06C,2018-08-23 04:55,57.20,0.00
06C,2018-08-23 05:55,56.30,0.00
06C,2018-08-23 06:55,54.50,0.00
06C,2018-08-23 07:55,54.30,0.00
06C,2018-08-23 08:55,53.20,0.00
06C,2018-08-23 09:55,52.90,0.00
06C,2018-08-23 10:55,52.20,0.00
06C,2018-08-23 11:55,53.80,0.00
06C,2018-08-23 12:55,61.70,0.00
06C,2018-08-23 13:55,67.50,0.00
06C,2018-08-23 14:55,71.40,0.00
06C,2018-08-23 15:55,73.20,0.00
06C,2018-08-23 16:55,75.00,0.00
06C,2018-08-23 17:55,76.60,0.00
06C,2018-08-23 18:55,76.10,0.00
06C,2018-08-23 19:55,76.60,0.00
06C,2018-08-23 20:55,77.00,0.00
06C,2018-08-23 21:55,77.00,0.00
06C,2018-08-23 22:55,75.40,0.00
06C,2018-08-23 23:55,72.70,0.00
06C,2018-08-24 00:55,68.50,0.00
06C,2018-08-24 01:55,64.40,0.00
06C,2018-08-24 02:55,63.50,0.00
06C,2018-08-24 03:55,63.50,0.00
06C,2018-08-24 04:55,64.00,0.00
06C,2018-08-24 05:55,63.70,0.00
06C,2018-08-24 06:55,62.40,0.00
06C,2018-08-24 07:55,61.50,0.00
06C,2018-08-24 08:55,63.50,0.00
06C,2018-08-24 09:55,64.40,0.00
06C,2018-08-24 10:55,63.70,0.00
06C,2018-08-24 11:55,64.60,0.00
06C,2018-08-24 12:55,65.30,0.00
06C,2018-08-24 13:55,64.90,0.00
06C,2018-08-24 14:55,63.30,0.00
06C,2018-08-24 15:55,60.40,0.51
06C,2018-08-24 16:55,62.10,0.51
06C,2018-08-24 17:55,64.90,0.00
06C,2018-08-24 18:55,68.00,0.00
06C,2018-08-24 19:55,68.40,0.00
06C,2018-08-24 20:55,68.90,0.00
06C,2018-08-24 21:55,68.00,0.00
06C,2018-08-24 22:55,65.70,0.00
06C,2018-08-24 23:55,62.80,0.25
06C,2018-08-25 00:55,62.60,0.00
06C,2018-08-25 01:55,62.60,0.00
06C,2018-08-25 02:55,62.60,0.00
06C,2018-08-25 03:55,63.00,0.00
06C,2018-08-25 04:55,63.50,0.00
06C,2018-08-25 05:55,64.00,0.00
06C,2018-08-25 06:55,64.40,0.00
06C,2018-08-25 07:55,64.60,2.79
06C,2018-08-25 08:55,63.90,0.00
06C,2018-08-25 09:55,64.00,1.78
06C,2018-08-25 10:55,64.40,0.00
06C,2018-08-25 11:55,64.90,0.00
06C,2018-08-25 12:55,66.40,0.00
06C,2018-08-25 13:55,68.00,0.00
06C,2018-08-25 14:55,71.31,0.00
06C,2018-08-25 15:55,71.45,0.00
06C,2018-08-25 16:55,74.22,0.00
06C,2018-08-25 17:55,78.45,0.00
06C,2018-08-25 18:55,83.90,0.00
06C,2018-08-25 19:55,85.42,0.00
06C,2018-08-25 20:55,86.73,0.00
06C,2018-08-25 21:55,87.45,0.00
06C,2018-08-25 22:55,86.84,0.00
06C,2018-08-25 23:55,84.08,0.00
06C,2018-08-26 00:55,77.72,0.00
06C,2018-08-26 01:55,74.86,0.00
06C,2018-08-26 02:55,73.77,0.00
06C,2018-08-26 03:55,72.88,0.00
06C,2018-08-26 04:55,70.00,0.00
06C,2018-08-26 05:55,69.30,0.00
06C,2018-08-26 06:55,68.00,0.00
06C,2018-08-26 07:55,67.30,0.00
06C,2018-08-26 08:55,67.10,0.00
06C,2018-08-26 09:55,66.70,0.00
06C,2018-08-26 10:55,72.33,0.00
06C,2018-08-26 11:55,72.55,0.00
06C,2018-08-26 12:55,73.54,0.00
